"","YEAR","avg_TMAX","avg_TMIN"
"1",1894,53.7424657534247,35.9671232876712
"2",1895,53.2876712328767,33.9945054945055
"3",1896,52.7540983606557,35.1256830601093
"4",1897,53.558904109589,33.9698630136986
"5",1898,56.2547945205479,34.558904109589
"6",1899,55.4712328767123,32.4246575342466
"7",1900,55.8416666666667,32.1041095890411
"8",1901,54.8383561643836,33.3808219178082
"9",1902,54.9095890410959,32.6465753424658
"10",1903,56.4630136986301,32.1561643835616
"11",1904,52.4207650273224,29.1530054644809
"12",1905,54.641095890411,30.9342465753425
"13",1906,56.2931506849315,31.9254143646409
"14",1907,53.9807692307692,31.0109589041096
"15",1908,57.207650273224,31.8191780821918
"16",1909,55.2857142857143,32.2396694214876
"17",1910,55.9561643835616,32.3873626373626
"18",1911,56.3835616438356,31.7888888888889
"19",1912,54.7513661202186,31.3606557377049
"20",1913,58.1890410958904,34.6611570247934
"21",1914,54.6547945205479,30.7287671232877
"22",1915,56.213698630137,34.8438356164384
"23",1916,54.8087431693989,32.5956284153005
"24",1917,52.2191780821918,30.8054794520548
"25",1918,54.9479452054794,32.1506849315069
"26",1919,55.413698630137,33.972602739726
"27",1920,54.4043715846995,32.603825136612
"28",1921,58.186301369863,34.6356164383562
"29",1922,55.372602739726,33.1232876712329
"30",1923,54.9068493150685,31.1260273972603
"31",1924,54.9808743169399,31.372602739726
"32",1925,55.172602739726,32.8547945205479
"33",1926,52.5424657534247,31.013698630137
"34",1927,56,34.1397260273973
"35",1928,54.9644808743169,34.7185792349727
"36",1929,54.9258241758242,33.4972527472527
"37",1930,56.6109589041096,34.441095890411
"38",1931,56.9479452054794,35.5835616438356
"39",1932,56.275956284153,34.8224043715847
"40",1933,55.75,34.4340659340659
"41",1934,54.8489010989011,32.532967032967
"42",1935,54.2197802197802,32.9287671232877
"43",1936,55.0655737704918,33.5245901639344
"44",1937,56.1123287671233,35.1260273972603
"45",1938,56.5616438356164,34.8739726027397
"46",1939,55.1178082191781,32.6219178082192
"47",1940,53.3606557377049,32.0573770491803
"48",1941,56.6602739726027,33.0630136986301
"49",1942,55.786703601108,34.2111111111111
"50",1943,53.4109589041096,31.5342465753425
"51",1944,55.6174863387978,32.1584699453552
"52",1945,55.9667590027701,33.1191135734072
"53",1946,57.7396121883656,33.0360110803324
"54",1947,56.5989010989011,32.3516483516484
"55",1948,56.6448087431694,31.7131147540984
"56",1949,58.3068493150685,36.3178082191781
"57",1950,54.5890410958904,34.013698630137
"58",1951,55.6246575342466,34.9315068493151
"59",1952,56.4808743169399,35.1830601092896
"60",1953,58.8598901098901,36.4684931506849
"61",1954,54.9123287671233,34.8027397260274
"62",1955,55.5972602739726,35.0054794520548
"63",1956,54.7841530054645,33.2213114754098
"64",1957,57.5671232876712,34.5808219178082
"65",1958,54.1397260273973,33.2657534246575
"66",1959,56.7945205479452,35.1534246575342
"67",1960,55.8524590163934,34.4153005464481
"68",1961,56.1424657534247,34.4438356164384
"69",1962,54.6684931506849,32.9095890410959
"70",1963,56.1232876712329,32.6849315068493
"71",1964,56.103825136612,33.4453551912568
"72",1965,56.8982035928144,34.2844311377246
"73",1966,55.8849315068493,33.5342465753425
"74",1967,54.7162534435262,33.3653846153846
"75",1968,54.9508196721311,33.0054644808743
"76",1969,55.6301369863014,34.9123287671233
"77",1970,55.5643835616438,33.9260273972603
"78",1971,55.6565934065934,33.5840220385675
"79",1972,53.8360655737705,33.5327868852459
"80",1973,56.972602739726,36.641095890411
"81",1974,54.9068493150685,34.186301369863
"82",1975,56.0054794520548,35.3808219178082
"83",1976,55.0983606557377,33.0956284153005
"84",1977,56.158904109589,35.1534246575342
"85",1978,55.4198895027624,31.8154269972452
"86",1979,54.5093632958801,35.8862973760933
"87",1980,54.4953560371517,31.8670694864048
"88",1981,59.0173913043478,35.8039772727273
"89",1982,57.6483516483516,33.3928571428571
"90",1983,58.4747191011236,36.3202247191011
"91",1984,56.8674351585014,34.2758620689655
"92",1985,57.4944444444444,33.7083333333333
"93",1986,57.8575342465753,33.441095890411
"94",1987,59.1890410958904,33.4
"95",1988,58.3479452054795,32.9342465753425
"96",1989,58.6417910447761,32.6089552238806
"97",1990,59.0690607734807,36.853591160221
"98",1991,58.041782729805,36.849582172702
"99",1992,54.8191780821918,33.6082191780822
"100",1993,56.2335164835165,34.5137362637363
"101",1994,55.5988857938719,34.5069637883008
"102",1995,56.4082191780822,35.4438356164384
"103",1996,55.5013774104683,35.8977900552486
"104",1997,56.1994134897361,35.1764705882353
"105",1998,61.5446428571429,42.3898809523809
"106",1999,59.0615384615385,37.7275541795666
"107",2000,55.3512747875354,35.3333333333333
"108",2001,55.7601246105919,34.6363636363636
"109",2002,57.5549450549451,37.5537190082645
"110",2003,53.7794117647059,32.8407079646018
"111",2004,55.4726775956284,35.5437158469945
"112",2005,56.6657534246575,36.4383561643836
"113",2006,57.7845303867403,39.1574585635359
"114",2007,55.7890410958904,35.5917808219178
"115",2008,56.448087431694,36.275956284153
"116",2009,55.7287671232877,35.9643835616438
"117",2010,58.5097493036212,39.1838440111421
"118",2011,55.8376811594203,36.2695652173913
"119",2012,59.9153005464481,39.2295081967213
"120",2013,58.6988636363636,37.5185185185185
"121",2014,56.584487534626,36.6543909348442
"122",2015,57.9519774011299,36.2124645892351
"123",2016,59.8434065934066,38.9340659340659
"124",2017,58.6383561643836,38.3424657534247
"125",2018,57.7808219178082,38.3123287671233
"126",2019,57.0828729281768,36.6878453038674
"127",2020,60.227397260274,39.1071428571429
"128",2021,59.1565934065934,39.6115702479339
"129",2022,60.4050279329609,38.1312849162011
"130",2023,59.4337016574586,40.3453038674033
"131",2024,60.2897727272727,40.3806818181818
